judge,generator,register,contrast,n_pairs,recall_baseline,recall_human_like,b_only_first_correct,c_only_second_correct,p_value,method,sig,recall_detector_evasive
claude,gpt-5.2,formal,baseline_vs_human_like,100,1.0,1.0,0,0,1.0,no-discordance,,
claude,gpt-5.2,formal,baseline_vs_detector_evasive,100,1.0,,0,0,1.0,no-discordance,,1.0
claude,gpt-5.2,formal,human_like_vs_detector_evasive,100,,1.0,0,0,1.0,no-discordance,,1.0
claude,gpt-5.2,informal,baseline_vs_human_like,100,0.69,0.73,15,19,0.6075913612730801,exact,,
claude,gpt-5.2,informal,baseline_vs_detector_evasive,100,0.69,,38,7,3.1213096463034162e-06,exact,***,0.38
claude,gpt-5.2,informal,human_like_vs_detector_evasive,100,,0.73,39,4,3.1081526685738936e-08,exact,***,0.38
claude,gpt-5.6,informal,baseline_vs_human_like,100,0.64,0.52,17,5,0.01690053939819336,exact,*,
claude,gpt-5.6,informal,baseline_vs_detector_evasive,100,0.64,,25,9,0.00904118549078703,exact,**,0.48
claude,gpt-5.6,informal,human_like_vs_detector_evasive,100,,0.52,17,13,0.5846647117286922,exact,,0.48
claude,mistral,informal,baseline_vs_human_like,100,0.84,0.96,3,15,0.007537841796875,exact,**,
claude,mistral,informal,baseline_vs_detector_evasive,100,0.84,,19,13,0.37708558747544885,exact,,0.78
claude,mistral,informal,human_like_vs_detector_evasive,100,,0.96,21,3,0.0002771615982055664,exact,***,0.78
deepseek,gpt-5.2,formal,baseline_vs_human_like,100,0.47,0.35,28,16,0.09614175442061423,exact,,
deepseek,gpt-5.2,formal,baseline_vs_detector_evasive,100,0.47,,1,46,6.821210263296962e-13,exact,***,0.92
deepseek,gpt-5.2,formal,human_like_vs_detector_evasive,100,,0.35,4,61,3.918664438079533e-14,exact,***,0.92
deepseek,gpt-5.2,informal,baseline_vs_human_like,100,0.05,0.01,5,1,0.21875,exact,,
deepseek,gpt-5.2,informal,baseline_vs_detector_evasive,100,0.05,,5,0,0.0625,exact,,0.0
deepseek,gpt-5.2,informal,human_like_vs_detector_evasive,100,,0.01,1,0,1.0,exact,,0.0
deepseek,gpt-5.6,informal,baseline_vs_human_like,100,0.4,0.1,33,3,2.2721360437572002e-07,exact,***,
deepseek,gpt-5.6,informal,baseline_vs_detector_evasive,100,0.4,,33,3,2.2721360437572002e-07,exact,***,0.1
deepseek,gpt-5.6,informal,human_like_vs_detector_evasive,100,,0.1,8,8,1.0,exact,,0.1
deepseek,mistral,informal,baseline_vs_human_like,100,0.24,0.25,17,18,1.0,exact,,
deepseek,mistral,informal,baseline_vs_detector_evasive,100,0.24,,19,7,0.028959274291992188,exact,*,0.12
deepseek,mistral,informal,human_like_vs_detector_evasive,100,,0.25,22,9,0.029449373483657837,exact,*,0.12
